ID,Species,Colony,Treatment,Tank,Volume_t0,Surface_total_t0,Surface_t0,Volume_t1,Surface_total_t1,Surface_t1
A-T1-2,Pve,A,MP + HF,1,7850.01,2801.38,2801.38,8088.9,3161.75,3161.75
B-T1-2,Pve,B,MP + HF,1,2106.14,1079.01,1079.01,2230.65,1255.33,1255.33
C-T1-2,Pve,C,MP + HF,1,3323.69,1657.87,1657.87,3331.54,1923.67,1923.67
D-T1-2,Pve,D,MP + HF,1,2480.37,1341.91,1341.91,2558.95,1457.97,1457.97
A-T6-2,Pve,A,MP + HF,6,4943.26,1901.11,1901.11,6097.93,2162.26,2162.26
B-T6-2,Pve,B,MP + HF,6,2316.71,1325.96,1325.96,2698.25,1427.5,1427.5
C-T6-2,Pve,C,MP + HF,6,NA,NA,NA,NA,NA,NA
D-T6-2,Pve,D,MP + HF,6,2901.67,1536.16,1536.16,3061.16,1699.64,1699.64
A-T11-2,Pve,A,MP + HF,11,5024.6,2535.11,2535.11,5879.3,2572.89,2572.89
B-T11-2,Pve,B,MP + HF,11,1806.1,1196.13,1196.13,1887.72,1204.71,1204.71
C-T11-2,Pve,C,MP + HF,11,3433.31,1907.88,1907.88,3571.9,2131.85,2131.85
D-T11-2,Pve,D,MP + HF,11,2864.48,1564.69,1564.69,2875.46,1606.17,1606.17
A-T4-2,Pve,A,MP,4,5147.08,2249.45,2249.45,6157.88,2532.27,2532.27
B-T4-2,Pve,B,MP,4,2611.87,2013.74,2013.74,3323.3,2798.87,2798.87
C-T4-2,Pve,C,MP,4,4593.72,2066.49,2066.49,6400.99,2800.14,2800.14
D-T4-2,Pve,D,MP,4,2487.83,1420.18,1420.18,2643.06,1424.26,1424.26
A-T9-2,Pve,A,MP,9,5512.86,2060.67,2060.67,5693.77,2267.13,2267.13
B-T9-2,Pve,B,MP,9,4348.96,2127.57,2127.57,4871.79,2711.32,2711.32
C-T9-2,Pve,C,MP,9,4341.72,2282.35,2282.35,4912.3,2489.87,2489.87
D-T9-2,Pve,D,MP,9,3741.58,1535.9,1535.9,3888.99,1853.83,1853.83
A-T14-2,Pve,A,MP,14,4665.81,2230.11,2230.11,5541.47,2373.91,2373.91
B-T14-2,Pve,B,MP,14,3883.91,1876.3,1876.3,4695.28,2215.43,2215.43
C-T14-2,Pve,C,MP,14,6169.46,2459.3,1342.94,6282.54,2257.68,1815.79
D-T14-2,Pve,D,MP,14,3498.37,1838.17,1838.17,3954.94,1879.06,1879.06
A-T5-2,Pve,A,Control,5,5677.35,2347.32,2347.32,6122.38,2636.93,2636.93
B-T5-2,Pve,B,Control,5,3016.09,1681.1,1681.1,4015.17,2085.3,2085.3
C-T5-2,Pve,C,Control,5,5422.86,2548.52,2548.52,7881.87,2863.37,2863.37
D-T5-2,Pve,D,Control,5,2544.02,1245.22,1245.22,2559.08,1350.38,1350.38
A-T10-2,Pve,A,Control,10,4586.52,1936.95,1936.95,5967.85,2679.99,2679.99
B-T10-2,Pve,B,Control,10,2312.77,1185.87,1185.87,2355.31,1228.46,1228.46
C-T10-2,Pve,C,Control,10,5173.38,1985.05,1985.05,5974.24,2286.1,2286.1
D-T10-2,Pve,D,Control,10,3249.76,1592.1,1592.1,3475.79,1743.49,1743.49
A-T15-2,Pve,A,Control,15,5509.46,2638.7,2638.7,5821.12,2705.56,2705.56
B-T15-2,Pve,B,Control,15,2169.32,1245.8,1245.8,2295.8,1364.67,1364.67
C-T15-2,Pve,C,Control,15,6743.69,2824.56,2824.56,7228.06,2907.68,2907.68
D-T15-2,Pve,D,Control,15,3840.38,2140.42,2140.42,3976.35,2183.97,2183.97
A-T1,Spi,A,MP + HF,1,2374.7,1708.26,1708.26,2495.15,1762.3,1762.3
B-T1,Spi,B,MP + HF,1,NA,NA,NA,NA,NA,NA
C-T1,Spi,C,MP + HF,1,1576.43,1095.67,1095.67,1612.22,1173.88,1173.88
D-T1,Spi,D,MP + HF,1,2101.54,1341.62,1341.62,2191.23,1468.17,1468.17
A-T6,Spi,A,MP + HF,6,1816.69,1460.97,1460.97,2162.93,1689.75,1689.75
B-T6,Spi,B,MP + HF,6,2916.95,2056.71,2056.71,2969.41,2414.43,2414.43
C-T6,Spi,C,MP + HF,6,2141.95,1567.49,1567.49,2236.09,1592.99,1592.99
D-T6,Spi,D,MP + HF,6,1655.05,1274.67,1274.67,2011.55,1413.47,1413.47
A-T11,Spi,A,MP + HF,11,1493.51,1449.37,1449.37,1929.29,1456.83,1456.83
B-T11,Spi,B,MP + HF,11,1046.32,969.75,969.75,1055.12,845.08,845.08
C-T11,Spi,C,MP + HF,11,1934.15,1229.33,1229.33,2034.32,1352.93,1352.93
D-T11,Spi,D,MP + HF,11,1952.8,1664.36,1664.36,2387.77,1593.56,1593.56
A-T4,Spi,A,MP,4,797.08,762.99,762.99,972.68,831.08,831.08
B-T4,Spi,B,MP,4,1206.81,941.23,941.23,1418.6,953.89,953.89
C-T4,Spi,C,MP,4,1448.47,1087.35,1087.35,1711.69,1290.93,1290.93
D-T4,Spi,D,MP,4,2244.54,1647.11,1647.11,2566.09,1810.63,1810.63
A-T9,Spi,A,MP,9,2534.76,1651.92,1651.92,2821.37,1816.75,1816.75
B-T9,Spi,B,MP,9,1149.83,1040.21,1040.21,1313.35,1179.92,1179.92
C-T9,Spi,C,MP,9,2208.33,1343.64,1343.64,2467.25,1609.07,1609.07
D-T9,Spi,D,MP,9,2052.15,1218.91,1218.91,2189.86,1468.59,1468.59
A-T14,Spi,A,MP,14,1730.09,1264.12,1264.12,1918.32,1298.08,1298.08
B-T14,Spi,B,MP,14,1934.42,1429.85,1429.85,1849.03,1513.23,1513.23
C-T14,Spi,C,MP,14,1566.6,1143.49,1143.49,1679.32,1322.18,1322.18
D-T14,Spi,D,MP,14,2564.94,1655.67,1655.67,2797.74,1923.38,1923.38
A-T5,Spi,A,Control,5,1327.4,1046.58,1046.58,1454,1183.25,1183.25
B-T5,Spi,B,Control,5,NA,NA,NA,818.58,758.13,758.13
C-T5,Spi,C,Control,5,2224.35,1343.35,1343.35,2550.02,1750.62,1750.62
D-T5,Spi,D,Control,5,2153.31,1405.91,1405.91,2257.28,1656.34,1656.34
A-T10,Spi,A,Control,10,1802.48,1260.6,1260.6,1961.51,1473.87,1473.87
B-T10,Spi,B,Control,10,845.59,642.47,642.47,831.01,685.62,685.62
C-T10,Spi,C,Control,10,1526.81,998.28,998.28,1630.44,1131.38,1131.38
D-T10,Spi,D,Control,10,1615.54,1044.19,1044.19,1641.1,1099.57,1099.57
A-T15,Spi,A,Control,15,2961.08,1971.88,1971.88,3040.93,2035.4,2035.4
B-T15,Spi,B,Control,15,1669.49,1453.1,1453.1,1739.35,1490.98,1490.98
C-T15,Spi,C,Control,15,4291.33,2536.64,2536.64,4551.06,2716.06,2716.06
D-T15,Spi,D,Control,15,1714.81,1434.08,1434.08,1960.24,1519.47,1519.47
