ID,Species,colony,treatment,tank,weight_.T0,weight_.T1,Volume_t1,Surface_t1,Volume_t2,Surface_t2,weight_t0,weight_t1,calcification
A-T1,Spi,A,MP + HF,1,1.895,2.155,2374.7,1708.26,2495.15,1762.3,2.911822834,3.309113341,15.22016555
A-T1-2,Pve,A,MP + HF,1,6.226,7.333,7850.01,2801.38,8088.9,3161.75,9.566759349,11.26019867,39.51623843
A-T10,Spi,A,Control,10,1.514,1.738,1802.48,1260.6,1961.51,1473.87,2.326385104,2.668788393,17.7693162
A-T10-2,Pve,A,Control,10,3.297,4.063,4586.52,1936.95,5967.85,2679.99,5.066110757,6.238945478,39.54671003
A-T11,Spi,A,MP + HF,11,1.381,1.614,1493.51,1449.37,1929.29,1456.83,2.122019701,2.478380015,16.07595024
A-T11-2,Pve,A,MP + HF,11,4.403,5.162,5024.6,2535.11,5879.3,2572.89,6.765570417,7.926516504,29.93952925
A-T14,Spi,A,MP,14,1.235,1.42,1730.09,1264.12,1918.32,1298.08,1.897678734,2.180483037,14.63468658
A-T14-2,Pve,A,MP,14,3.614,4.495,4665.81,2230.11,5541.47,2373.91,5.553207242,6.902303697,39.50477779
A-T15,Spi,A,Control,15,2.241,2.633,2961.08,1971.88,3040.93,2035.4,3.443480196,4.043106927,19.87950585
A-T15-2,Pve,A,Control,15,4.898,5.975,5509.46,2638.7,5821.12,2705.56,7.526178492,9.17491982,40.81555311
A-T4,Spi,A,MP,4,0.675,0.79,797.08,762.99,972.68,831.08,1.03719283,1.213085633,15.07228142
A-T4-2,Pve,A,MP,4,4.149,5.255,5147.08,2249.45,6157.88,2532.27,6.375278596,8.069322788,49.1675743
A-T5,Spi,A,Control,5,0.933,1.134,1327.4,1046.58,1454,1183.25,1.433630979,1.741315327,19.20541191
A-T5-2,Pve,A,Control,5,4.653,5.699,5677.35,2347.32,6122.38,2636.93,7.149715909,8.751107624,44.56145732
A-T6,Spi,A,MP + HF,6,1.267,1.581,1816.69,1460.97,2162.93,1689.75,1.946849357,2.427706818,21.49257
A-T6-2,Pve,A,MP + HF,6,3.741,4.786,4943.26,1901.11,6097.93,2162.26,5.748353152,7.349149165,54.96788718
