ID,Species,colony,treatment,tank,Volume_t0,Surface_t0,Volume_t1,Surface_t1,growth_surf,growth_vol
A-T1,Spi,A,MP + HF,1,2374.7,1708.26,2495.15,1762.3,3.16345287,0.007051034
A-T1-2,Pve,A,MP + HF,1,7850.01,2801.38,8088.9,3161.75,12.86401702,0.008527583
A-T10,Spi,A,Control,10,1802.48,1260.6,1961.51,1473.87,16.91813422,0.012615421
A-T10-2,Pve,A,Control,10,4586.52,1936.95,5967.85,2679.99,38.36134128,0.071314696
A-T11,Spi,A,MP + HF,11,1493.51,1449.37,1929.29,1456.83,0.51470639,0.030066857
A-T11-2,Pve,A,MP + HF,11,5024.6,2535.11,5879.3,2572.89,1.490270639,0.033714513
A-T14,Spi,A,MP,14,1730.09,1264.12,1918.32,1298.08,2.686453818,0.0148902
A-T14-2,Pve,A,MP,14,4665.81,2230.11,5541.47,2373.91,6.448112425,0.039265328
A-T15,Spi,A,Control,15,2961.08,1971.88,3040.93,2035.4,3.221291356,0.004049435
A-T15-2,Pve,A,Control,15,5509.46,2638.7,5821.12,2705.56,2.533823474,0.011811119
A-T4,Spi,A,MP,4,797.08,762.99,972.68,831.08,8.924101233,0.023014718
A-T4-2,Pve,A,MP,4,5147.08,2249.45,6157.88,2532.27,12.57285114,0.044935429
A-T5,Spi,A,Control,5,1327.4,1046.58,1454,1183.25,13.05872461,0.012096543
A-T5-2,Pve,A,Control,5,5677.35,2347.32,6122.38,2636.93,12.33790024,0.018959068
A-T6,Spi,A,MP + HF,6,1816.69,1460.97,2162.93,1689.75,15.65945913,0.023699323
A-T6-2,Pve,A,MP + HF,6,4943.26,1901.11,6097.93,2162.26,13.73671171,0.060736622
A-T9,Spi,A,MP,9,2534.76,1651.92,2821.37,1816.75,9.978086106,0.017350114
A-T9-2,Pve,A,MP,9,5512.86,2060.67,5693.77,2267.13,10.01907147,0.008779183
B-T1-2,Pve,B,MP + HF,1,2106.14,1079.01,2230.65,1255.33,16.34090509,0.011539281
B-T10,Spi,B,Control,10,845.59,642.47,831.01,685.62,6.716266907,-0.002269367
B-T10-2,Pve,B,Control,10,2312.77,1185.87,2355.31,1228.46,3.591456062,0.00358724
B-T11-2,Pve,B,MP + HF,11,1806.1,1196.13,1887.72,1204.71,0.717313336,0.006823673
