ID,Species,colony,treatment,tank,sampling_point,day,position_glass,net_ps,respiration,gross_ps
A-T1,Spi,A,MP + HF,1,T1,5,B7,10.16824727,4.622857769,14.79110504
A-T1,Spi,A,MP + HF,1,T0,1,A11,26.33926724,9.155599401,35.49486664
A-T1-2,Pve,A,MP + HF,1,T1,5,A2,23.10715182,14.23669528,37.3438471
A-T1-2,Pve,A,MP + HF,1,T0,1,A2,33.77185913,8.589366158,42.36122529
A-T10,Spi,A,Control,10,T1,7,C7,25.88928672,24.43627159,50.3255583
A-T10,Spi,A,Control,10,T0,3,A2,30.59818314,2.84179677,33.43997991
A-T10-2,Pve,A,Control,10,T0,3,A5,37.17298743,1.737473067,38.9104605
A-T10-2,Pve,A,Control,10,T1,7,B2,24.31511593,17.37888946,41.69400539
A-T11,Spi,A,MP + HF,11,T1,5,C5,29.90859979,-2.154896822,27.75370296
A-T11,Spi,A,MP + HF,11,T0,1,B12,36.65341988,13.88064277,50.53406266
A-T11-2,Pve,A,MP + HF,11,T0,1,B8,11.4443319,3.486801792,14.9311337
A-T11-2,Pve,A,MP + HF,11,T1,5,B2,25.01200799,2.861472461,27.87348045
A-T14,Spi,A,MP,14,T0,3,C5,25.90114617,7.199836539,33.10098271
A-T14,Spi,A,MP,14,T1,7,A2,21.70226473,3.762516543,25.46478127
A-T14-2,Pve,A,MP,14,T0,2,B4,24.08772438,11.48641973,35.57414411
A-T14-2,Pve,A,MP,14,T1,6,B5,67.50184797,24.30867561,91.81052357
A-T15,Spi,A,Control,15,T1,8,A6,28.12738124,17.83111536,45.9584966
A-T15,Spi,A,Control,15,T0,4,A6,20.64111667,10.04341148,30.68452814
A-T15-2,Pve,A,Control,15,T1,7,B8,12.17320859,9.619350746,21.79255934
A-T15-2,Pve,A,Control,15,T0,3,B4,24.20712641,-1.067780637,23.13934577
A-T4,Spi,A,MP,4,T1,6,B11,75.90046098,14.71286391,90.61332489
A-T4,Spi,A,MP,4,T0,2,B1,63.98728446,42.49826255,106.485547
A-T4-2,Pve,A,MP,4,T0,2,A11,26.28950216,14.62821754,40.9177197
A-T4-2,Pve,A,MP,4,T1,6,A6,73.54286177,11.61244301,85.15530477
A-T5,Spi,A,Control,5,T0,3,A8,20.4792386,12.20258893,32.68182753
A-T5,Spi,A,Control,5,T1,7,C1,50.21421847,-0.458933712,49.75528476
A-T5-2,Pve,A,Control,5,T0,3,B12,22.66323003,11.78627505,34.44950508
A-T5-2,Pve,A,Control,5,T1,7,A8,25.72245353,13.35527115,39.07772468
A-T6,Spi,A,MP + HF,6,T0,1,A7,48.23843979,16.5127204,64.7511602
A-T6,Spi,A,MP + HF,6,T1,5,B12,22.12867489,-1.243551765,20.88512313
A-T6-2,Pve,A,MP + HF,6,T1,5,A8,16.90371963,7.213389199,24.11710883
A-T6-2,Pve,A,MP + HF,6,T0,1,C1,28.48448744,12.2423322,40.72681964
A-T9,Spi,A,MP,9,T0,2,C1,32.07020645,-8.199899308,23.87030715
A-T9,Spi,A,MP,9,T1,6,C4,51.03297383,26.10012326,77.13309709
A-T9-2,Pve,A,MP,9,T1,6,A11,53.48973916,-312.3353128,-258.8455736
A-T9-2,Pve,A,MP,9,T0,2,A8,23.94206364,7.424430411,31.36649405
B-T1-2,Pve,B,MP + HF,1,T1,5,A5,8.983145538,4.397019697,13.38016523
B-T1-2,Pve,B,MP + HF,1,T0,1,A5,68.09063577,19.84420244,87.93483821
B-T10,Spi,B,Control,10,T0,3,A7,33.34358632,22.13048144,55.47406776
B-T10,Spi,B,Control,10,T1,7,C8,11.56138504,27.86776885,39.42915389
B-T10-2,Pve,B,Control,10,T1,7,B4,23.14151564,11.24026008,34.38177572
B-T10-2,Pve,B,Control,10,T0,3,C4,34.61363874,5.357286156,39.9709249
B-T11-2,Pve,B,MP + HF,11,T1,5,B4,4.895674113,18.79411117,23.68978529
B-T11-2,Pve,B,MP + HF,11,T0,1,C4,11.2218532,4.656865531,15.87871873
B-T14,Spi,B,MP,14,T0,3,B8,22.19302767,1.219832241,23.41285991
B-T14,Spi,B,MP,14,T1,7,A5,5.806040361,4.557694682,10.36373504
B-T14-2,Pve,B,MP,14,T0,2,B2,29.2815085,15.38105337,44.66256187
B-T14-2,Pve,B,MP,14,T1,6,B7,78.02531083,22.85657016,100.881881
B-T15,Spi,B,Control,15,T0,4,A7,22.48075476,12.99029572,35.47105048
B-T15,Spi,B,Control,15,T1,8,A7,11.28623687,-1.687970599,9.598266275
B-T15-2,Pve,B,Control,15,T0,3,B7,38.6296099,5.57861802,44.20822792
B-T15-2,Pve,B,Control,15,T1,7,B9,24.31935594,2.570481886,26.88983782
B-T4,Spi,B,MP,4,T1,6,B12,60.5882179,10.12820179,70.71641969
B-T4,Spi,B,MP,4,T0,2,A5,26.47039524,14.92760477,41.398
B-T4-2,Pve,B,MP,4,T0,2,A2,21.16634654,4.130402501,25.29674904
B-T4-2,Pve,B,MP,4,T1,6,A7,64.34448726,14.24646708,78.59095434
B-T5,Spi,B,Control,5,T0,3,A9,NA,NA,NA
B-T5,Spi,B,Control,5,T1,7,C2,NA,NA,NA
B-T5-2,Pve,B,Control,5,T0,3,C1,24.98259431,11.4595258,36.44212011
B-T5-2,Pve,B,Control,5,T1,7,A9,27.39992696,21.08712471,48.48705167
B-T6,Spi,B,MP + HF,6,T1,5,C1,1.998515166,3.383553389,5.382068555
B-T6,Spi,B,MP + HF,6,T0,1,A9,23.86536522,6.268333313,30.13369853
B-T6-2,Pve,B,MP + HF,6,T1,5,A9,18.41019525,12.36861093,30.77880618
B-T6-2,Pve,B,MP + HF,6,T0,1,B11,29.82963825,13.87695205,43.7065903
